country,year,sex,suicides_no,suicides/100k,generation
Albania,1987,male,21,6.71,Generation X
Albania,1987,male,16,5.19,Silent
Albania,1987,female,14,4.83,Generation X
Albania,1987,male,1,4.59,G.I. Generation
Albania,1987,male,9,3.28,Boomers
Albania,1987,female,1,2.81,G.I. Generation
Albania,1987,female,6,2.15,Silent
Albania,1987,female,4,1.56,Boomers
Albania,1987,male,1,0.73,G.I. Generation
Albania,1987,female,0,0,Generation X
Albania,1987,female,0,0,G.I. Generation
Albania,1987,male,0,0,Generation X
Albania,1988,female,2,5.49,G.I. Generation
Albania,1988,male,17,5.33,Generation X
Albania,1988,male,1,4.48,G.I. Generation
Albania,1988,male,14,4.46,Silent
Albania,1988,male,4,2.85,G.I. Generation
Albania,1988,female,8,2.71,Generation X
Albania,1988,female,3,2.03,G.I. Generation
Albania,1988,female,5,1.91,Boomers
Albania,1988,male,5,1.79,Boomers
Albania,1988,female,4,1.41,Silent
Albania,1988,female,0,0,Generation X
Albania,1988,male,0,0,Generation X
Albania,1989,male,2,8.89,G.I. Generation
Albania,1989,male,18,6.35,Boomers
Albania,1989,male,15,4.71,Silent
Albania,1989,male,6,4.22,G.I. Generation
Albania,1989,male,12,3.71,Generation X
Albania,1989,female,7,2.43,Silent
Albania,1989,female,5,1.67,Generation X
Albania,1989,female,2,0.75,Boomers
Albania,1989,female,1,0.67,G.I. Generation
Albania,1989,female,0,0,Generation X
Albania,1989,female,0,0,G.I. Generation
Albania,1989,male,0,0,Generation X
Albania,1992,male,12,3.49,Boomers
Albania,1992,male,9,3.41,Generation X
Albania,1992,male,5,3.13,Silent
Albania,1992,male,7,2.85,Boomers
Albania,1992,female,7,2.39,Generation X
Albania,1992,female,4,1.5,Boomers
Albania,1992,female,2,0.62,Boomers
Albania,1992,female,1,0.61,Silent
Albania,1992,female,0,0,Millenials
Albania,1992,female,0,0,G.I. Generation
Albania,1992,male,0,0,Millenials
Albania,1992,male,0,0,G.I. Generation
Albania,1993,male,18,7.4,Generation X
Albania,1993,male,7,4.24,Silent
Albania,1993,male,1,4.13,G.I. Generation
Albania,1993,male,9,3.91,Boomers
Albania,1993,female,10,3.51,Generation X
Albania,1993,male,10,2.85,Boomers
Albania,1993,female,7,2.67,Boomers
Albania,1993,female,7,2.11,Boomers
Albania,1993,female,2,1.18,Silent
Albania,1993,female,1,0.29,Millenials
Albania,1993,male,1,0.27,Millenials
Albania,1993,female,0,0,G.I. Generation
Albania,1994,male,2,8.13,G.I. Generation
Albania,1994,male,11,6.42,Silent
Albania,1994,female,2,5.01,G.I. Generation
Albania,1994,male,6,2.59,Boomers
Albania,1994,male,9,2.48,Boomers
Albania,1994,male,6,2.48,Generation X
Albania,1994,female,6,2.12,Generation X
Albania,1994,female,4,1.53,Boomers
Albania,1994,female,2,0.58,Boomers
Albania,1994,female,1,0.57,Silent
Albania,1994,male,1,0.27,Millenials
Albania,1994,female,0,0,Millenials
Albania,1995,male,13,5.58,Generation X
Albania,1995,male,9,5.06,Silent
Albania,1995,female,2,4.9,G.I. Generation
Albania,1995,female,13,4.59,Generation X
Albania,1995,male,11,4.56,Generation X
Albania,1995,male,1,3.98,G.I. Generation
Albania,1995,male,14,3.72,Boomers
Albania,1995,female,7,2.65,Generation X
Albania,1995,female,8,2.24,Boomers
Albania,1995,male,6,1.59,Millenials
Albania,1995,female,2,1.11,Silent
Albania,1995,female,2,0.57,Millenials
Albania,1996,male,2,7.87,G.I. Generation
Albania,1996,male,17,6.98,Generation X
Albania,1996,male,14,5.95,Generation X
Albania,1996,female,16,5.56,Generation X
Albania,1996,female,2,4.85,G.I. Generation
Albania,1996,female,10,3.73,Generation X
Albania,1996,male,12,3.16,Boomers
Albania,1996,female,9,2.49,Boomers
Albania,1996,male,3,1.67,Silent
Albania,1996,female,1,0.55,Silent
Albania,1996,male,2,0.53,Millenials
Albania,1996,female,1,0.28,Millenials
Albania,1997,male,36,15.25,Generation X
Albania,1997,male,33,13.5,Generation X
Albania,1997,male,3,11.81,G.I. Generation
Albania,1997,male,30,7.88,Boomers
Albania,1997,female,21,7.14,Generation X
Albania,1997,male,12,6.66,Silent
Albania,1997,female,16,5.84,Generation X
Albania,1997,female,2,4.75,G.I. Generation
Albania,1997,female,7,1.89,Boomers
Albania,1997,female,6,1.66,Millenials
Albania,1997,male,4,1.05,Millenials
Albania,1997,female,0,0,Silent
Albania,1998,male,3,11.63,G.I. Generation
Albania,1998,male,27,10.85,Generation X
Albania,1998,female,32,10.83,Generation X
Albania,1998,male,26,10.82,Generation X
Albania,1998,male,29,7.47,Boomers
Albania,1998,male,9,4.9,Silent
Albania,1998,female,10,3.63,Generation X
Albania,1998,female,6,3.19,Silent
Albania,1998,female,9,2.42,Boomers
Albania,1998,male,2,0.51,Millenials
Albania,1998,female,1,0.27,Millenials
Albania,1998,female,0,0,G.I. Generation
Albania,1999,male,3,11.58,G.I. Generation
Albania,1999,male,24,9.58,Generation X
Albania,1999,female,4,9.43,G.I. Generation
Albania,1999,male,31,7.93,Boomers
Albania,1999,male,19,7.84,Generation X
Albania,1999,male,14,7.56,Silent
Albania,1999,female,19,6.4,Generation X
Albania,1999,female,13,4.7,Generation X
Albania,1999,female,6,3.18,Silent
Albania,1999,female,5,1.34,Boomers
Albania,1999,female,1,0.27,Millenials
Albania,1999,male,0,0,Millenials
Albania,2000,male,17,7.33,Generation X
Albania,2000,male,10,5.64,Silent
Albania,2000,female,2,5.29,G.I. Generation
Albania,2000,male,1,4.02,G.I. Generation
Albania,2000,female,6,2.27,Generation X
Albania,2000,male,5,2.08,Generation X
Albania,2000,female,5,1.51,Boomers
Albania,2000,female,3,1.22,Generation X
Albania,2000,male,4,1.07,Boomers
Albania,2000,male,1,0.27,Millenials
Albania,2000,female,0,0,Millenials
Albania,2000,female,0,0,Silent
Albania,2001,male,22,10.65,Generation X
Albania,2001,male,34,8.98,Boomers
Albania,2001,male,11,5.59,Silent
Albania,2001,female,2,4.23,Silent
Albania,2001,male,10,3.91,Millenials
Albania,2001,female,9,3.32,Millenials
Albania,2001,female,12,3.24,Boomers
Albania,2001,male,1,3.22,Silent
Albania,2001,female,6,3.16,Silent
Albania,2001,male,6,1.87,Millenials
Albania,2001,female,4,1.8,Generation X
Albania,2001,female,2,0.65,Millenials
Albania,2002,male,4,12.9,Silent
Albania,2002,male,23,11.15,Generation X
Albania,2002,male,35,9.16,Boomers
Albania,2002,male,13,6.56,Silent
Albania,2002,male,15,5.7,Millenials
Albania,2002,female,14,5.07,Millenials
Albania,2002,female,15,4,Boomers
Albania,2002,female,7,3.13,Generation X
Albania,2002,female,1,2.11,Silent
Albania,2002,female,4,2.09,Silent
Albania,2002,female,1,0.33,Millenials
Albania,2002,male,1,0.31,Millenials
Albania,2003,female,6,12.22,Silent
Albania,2003,male,16,7.94,Silent
Albania,2003,male,28,7.25,Boomers
Albania,2003,male,15,5.49,Millenials
Albania,2003,female,14,4.93,Millenials
Albania,2003,female,9,4.6,Silent
Albania,2003,male,9,4.38,Generation X
Albania,2003,female,9,4.04,Generation X
Albania,2003,female,13,3.41,Boomers
Albania,2003,male,1,3.06,Silent
Albania,2003,male,4,1.28,Millenials
Albania,2003,female,0,0,Millenials
Albania,2004,male,4,11.26,Silent
Albania,2004,male,39,9.95,Boomers
Albania,2004,male,16,7.85,Generation X
Albania,2004,female,20,6.84,Millenials
Albania,2004,male,19,6.63,Millenials
Albania,2004,female,3,5.89,Silent
Albania,2004,female,11,4.95,Generation X
Albania,2004,male,10,4.83,Silent
Albania,2004,female,17,4.34,Boomers
Albania,2004,female,3,1.47,Silent
Albania,2004,female,3,1.05,Millenials
Albania,2004,male,1,0.33,Millenials
Albania,2005,female,0,0,Millenials
Albania,2005,female,0,0,Generation X
Albania,2005,female,0,0,Boomers
Albania,2005,female,0,0,Millenials
Albania,2005,female,0,0,Silent
Albania,2005,female,0,0,Silent
Albania,2005,male,0,0,Millenials
Albania,2005,male,0,0,Generation X
Albania,2005,male,0,0,Boomers
Albania,2005,male,0,0,Millenials
Albania,2005,male,0,0,Silent
Albania,2005,male,0,0,Silent
Albania,2006,female,0,0,Millenials
Albania,2006,female,0,0,Generation X
Albania,2006,female,0,0,Boomers
Albania,2006,female,0,0,Millenials
Albania,2006,female,0,0,Silent
Albania,2006,female,0,0,Silent
